alpha,max_iter,neibors,custo,tempo
0.1,1000,"[0, 1]",875.0,1.8212480068206787
0.1,10000,"[0, 1]",829.0,18.195425844192506
0.1,25000,"[0, 1]",829.0,45.12855486869812
0.3,1000,"[0, 1]",812.0,2.4652945518493654
0.3,10000,"[0, 1]",812.0,24.552322006225587
0.3,25000,"[0, 1]",807.0,61.45739531517029
0.6,1000,"[0, 1]",833.0,3.4271383762359617
0.6,10000,"[0, 1]",830.0,34.33908061981201
0.6,25000,"[0, 1]",807.0,85.93691048622131
