alpha,max_iter,neibors,custo,tempo
0.1,1000,"[0, 1]",1415.6,17.37027187347412
0.1,10000,"[0, 1]",1386.6,170.7010956764221
0.1,25000,"[0, 1]",1376.2,300.01344323158264
0.3,1000,"[0, 1]",1432.0,29.406711292266845
0.3,10000,"[0, 1]",1396.2,293.7837598323822
0.3,25000,"[0, 1]",1373.6,300.0173034667969
0.6,1000,"[0, 1]",1501.0,48.19608783721924
0.6,10000,"[0, 1]",1446.4,300.0121335029602
0.6,25000,"[0, 1]",1425.6,300.037180519104
