alpha,max_iter,neibors,custo,tempo
0.15,1000,"[0, 1]",1368.0,7.349276971817017
0.15,15000,"[0, 1]",1352.0,110.55044260025025
0.15,30000,"[0, 1]",1341.0,220.49274988174437
0.28,1000,"[0, 1]",1358.0,8.448796319961549
0.28,15000,"[0, 1]",1345.0,124.76421537399293
0.28,30000,"[0, 1]",1338.0,249.92772555351257
0.45,1000,"[0, 1]",1355.0,11.397058629989624
0.45,15000,"[0, 1]",1338.0,171.8479250907898
0.45,30000,"[0, 1]",1346.0,300.00880999565123
